Complexity,Loss,Equation
1,5.5185375,"x0"
3,2.6188364,"x4 * 0.71149236"
4,1.2867897,"log(x4) + 4.4500084"
5,1.1607281,"(x4 * 0.5371268) + 1.7138599"
6,0.80952126,"(sqrt(x6) + x4) * 0.58622086"
7,0.637927,"abs(log(x6) + (x4 * 0.564803))"
8,0.5869296,"log((x4 * x6) + 2.2955039) * 1.801714"
9,0.43758938,"abs(-1.6905451 - log(x4 * (x2 * x6)))"
10,0.13983126,"log((x4 * (x2 * x6)) + 2.144676) * 1.3289132"
12,0.107155986,"log(((x4 * x2) * (x6 + 0.16547357)) + 2.056002) * 1.3171138"
13,0.10239271,"log((x4 * ((x6 + 0.20480335) * x2)) + log(x1)) * 1.319512"
14,0.09144937,"log((((x2 - 0.8395873) * x4) * (x6 + 0.2223606)) + 2.3064973) * 1.3692691"
